lookback,train_ratio,mae_mean,mae_std,mae_median,rmse_mean,n_tokens
7,0.7,0.30100908905224977,4.0158308316438145,0.0010913291456340366,0.32452631782046104,200
7,0.8,0.32993917482245944,4.394760356003269,0.0010809874938185558,0.3387660132104983,200
7,0.9,0.2999592996024611,3.960144601852116,0.0010804914712268462,0.3084989436726728,200
14,0.7,0.2854910630301417,3.804045535956524,0.0010003361346463957,0.30968253559513254,200
14,0.8,0.3123709715945189,4.151164401019613,0.0009460687366947658,0.3215813734386706,200
14,0.9,0.2764052511532342,3.6391940606729496,0.0009917467392121758,0.2867728638951798,200
21,0.7,0.2854910630301417,3.804045535956524,0.0010003361346463957,0.30968253559513254,200
21,0.8,0.3123709715945189,4.151164401019613,0.0009460687366947658,0.3215813734386706,200
21,0.9,0.2764052511532342,3.6391940606729496,0.0009917467392121758,0.2867728638951798,200
