variant,seed,mae_mean,mae_std,rmse_mean,rmse_std,smape_mean,smape_std,mase_mean,directional_accuracy_mean,n_tokens
V0,11,0.02647156733444979,0.08687770313866078,0.027021728671345474,0.08829932001569957,128.54278005814376,50.25335448874059,0.02647156733444979,0.2793428861443567,48
V0,17,0.041081312966129206,0.07143175525892831,0.04164138978479107,0.07302765655382117,161.279651584471,44.5855499240284,0.041081312966129206,0.25254085851512326,48
V0,23,0.02725157682042849,0.10114066085294153,0.02768089609189785,0.10212367432232157,188.24573726779747,40.2315244960206,0.02725157682042849,0.704370030840619,48
V1,11,0.02774162241972672,0.08993659891639139,0.030713896101300944,0.09108070290612953,166.0004720878402,46.70677763778497,0.02774162241972672,0.5452806469810146,48
V1,17,0.026837274690110813,0.08653078615294908,0.028784767498899713,0.08805988435067401,181.4748760071332,40.78807307230372,0.026837274690110813,0.6551580228050816,48
V1,23,0.02811286341974933,0.08871626680444462,0.031197199953254248,0.09078946643423685,168.41522498855025,51.28779892405957,0.02811286341974933,0.59385946297711,48
V2,11,0.02607316918668046,0.10568735419653948,0.02684247556623925,0.10666663459882539,77.96019497131776,41.98413813679062,0.02607316918668046,0.2937236952861953,48
V2,17,0.02607316918668046,0.10568735419653948,0.02684247556623925,0.10666663459882539,77.96019497131776,41.98413813679062,0.02607316918668046,0.2937236952861953,48
V2,23,0.02607316918668046,0.10568735419653948,0.02684247556623925,0.10666663459882539,77.96019497131776,41.98413813679062,0.02607316918668046,0.2937236952861953,48
V3,11,0.030320431451837136,0.12464268133115514,0.03137053418388912,0.1259619160882814,85.48076968847727,37.89290388088396,0.030320431451837136,0.334184832392553,48
V3,17,0.030348891497574883,0.12465675200812207,0.03140384671930408,0.12597885341531692,85.58093533319204,38.154170716508105,0.030348891497574883,0.334184832392553,48
V3,23,0.03336807956385752,0.12403818515771085,0.039228858367791,0.1252187825356917,83.08952084674702,38.205816257595274,0.03336807956385752,0.3050692278173896,48
